#ID	RA	DEC	ENV	CO10	UC_CO10	CO21	UC_CO21	CO32	UC_CO32	13CO10	UC_13CO10	13CO21	UC_13CO21	C18O10	UC_C18O10	SNR_TCO	C18O21	UC_C18O21	C17O10	UC_C17O10
535   -26.88780036    -0.3781878      4     55.3937796    0.1929298    48.47457018   0.28317632   19.50376338   0.15525881   6.86189342   0.1169353    4.89731372   0.24065544   1.69630863    0.11877519   58.68111186271383    1.17228558    0.24859408   -0.05559274   0.14858906  
536   -13.38780043    -0.37961089     4     59.48027003   0.22099675   53.10940171   0.30523293   25.37572877   0.17851822   7.91087343   0.14254592   5.59241552   0.27662794   1.98936284    0.13789993   55.497017592646635   1.6552499     0.29151829   0.0332003     0.16858192  
506   -6.63779359     -12.07130764    4     48.92694035   0.1513106    44.9832494    0.28126703   20.87470306   0.20539204   7.05478226   0.12945863   4.29328833   0.25868063   1.50239792    0.13202935   54.49449186971931    1.12809387    0.28327802   0.44851061    0.16574395  
475   -26.8877868     -23.76087394    4     48.56820328   0.17418627   43.19963      0.26486216   19.09601469   0.14839684   5.73920097   0.10641797   4.08685459   0.21691408   1.26053537    0.10350251   53.930750323465105   0.50383396    0.20382716   -0.03132126   0.13479289  
598   0.11218582      23.00260594     4     39.28277073   0.20244884   36.69343476   0.25719721   18.04725454   0.1792115    5.73429212   0.10758817   3.4669535    0.23385777   1.20500213    0.10311267   53.29853756226173    0.93882018    0.2341886    0.29529456    0.17108114  
566   -20.1378073     11.31232442     4     53.59986108   0.17570738   49.23210062   0.29998969   22.87819154   0.17503565   7.14072441   0.13428855   5.00370283   0.23365634   1.89867809    0.12638521   53.174484421791725   1.40814269    0.24156034   -0.02610235   0.16389357  
446   -6.63777994     -35.45399356    4     43.71036982   0.1142436    35.08957704   0.22272761   16.5320622    0.20303523   5.16736279   0.09721095   2.81196468   0.19723863   1.26081974    0.09800935   53.15618034799578    0.6457126     0.20920423   0.45720926    0.1290737   
567   -6.63780732     11.31137828     4     53.52731125   0.17927843   51.40880303   0.27435843   26.72341518   0.22265244   7.56259733   0.14350548   5.36456295   0.27703073   1.80704246    0.11646648   52.69901421186146    1.75208638    0.26397512   0.32842702    0.17620789  
476   -13.38778679    -23.76229685    4     52.40939047   0.17279373   44.88759053   0.24118533   22.70109312   0.18540132   6.48246103   0.12381589   3.84286987   0.25172713   1.392019      0.11426156   52.3556470013663     0.93732182    0.23864413   0.38826426    0.156311    
597   -13.38781425    23.00307507     4     40.98657305   0.18099618   36.94732319   0.28357367   16.82352761   0.1759284    5.55367428   0.10665723   3.64624468   0.22470935   1.39287656    0.1244878    52.07030296961584    0.96395851    0.21061815   0.35466126    0.13368732  
568   6.8621927       11.31138621     4     43.97715663   0.25675268   42.24688622   0.29776814   20.82065291   0.13714592   6.44078691   0.12445768   4.35470377   0.28247133   1.53968104    0.13027938   51.750819314645746   1.82361161    0.26760209   0.31292025    0.16854863  
505   -20.13779357    -12.07036161    4     60.94906181   0.18848268   53.41453713   0.29556672   26.07935079   0.1893049    7.57215727   0.14941333   5.25359395   0.26058083   1.88313444    0.13061469   50.67926181686734    1.33856521    0.24662581   0.22644341    0.15843726  
